OBJECTID;Carretera;Tipus;Valor;Observacions;Sentit;Shape.STLength();Shape
13086;BV-1468;Clotoide;34.568; ; ;6.923669112307006;
13087;BV-1468;Recta;0; ; ;123.76173082297413;
13088;BV-1468;Clotoide;30.094; ; ;13.211934540285068;
13089;BV-1468;Corba;68.543; ; ;26.71620950434618;
13090;BV-1468;Clotoide;28.71; ; ;12.02455635756372;
13091;BV-1468;Clotoide;28.71; ; ;14.833647649235203;
13092;BV-1468;Corba;55.563; ; ;15.693665569771678;
13093;BV-1468;Clotoide;25.53; ; ;11.72894096760962;
13094;BV-1468;Clotoide;25.53; ; ;19.275265840775724;
13095;BV-1468;Corba;33.811; ; ;27.24367669990387;
13096;BV-1468;Clotoide;29.077; ; ;25.003692742329193;
13097;BV-1468;Recta;0; ; ;12.390880503137309;
13098;BV-1468;Corba;208.414; ; ;9.57508231381259;
13099;BV-1468;Recta;0; ; ;5.741033721047716;
13100;BV-1468;Corba;53.81; ; ;30.27027726331111;
13101;BV-1468;Recta;0; ; ;7.1443558370851585;
13102;BV-1468;Corba;89.665; ; ;13.335694321844919;
13103;BV-1468;Clotoide;34.054; ; ;9.902943796985678;
13104;BV-1468;Corba;67.626; ; ;10.663830342087362;
13105;BV-1468;Clotoide;45.242; ; ;30.264342193107026;
13106;BV-1468;Recta;0; ; ;8.011638142505554;
13107;BV-1468;Corba;123.562; ; ;4.807016309183176;
13108;BV-1468;Clotoide;75.935; ; ;46.66135931815794;
13109;BV-1468;Recta;0; ; ;34.87286799538669;
13110;BV-1468;Corba;581.347; ; ;9.318850712763801;
13111;BV-1468;Recta;0; ; ;6.6912830892610655;
13112;BV-1468;Corba;195.233; ; ;29.61822931473549;
13113;BV-1468;Clotoide;36.752; ; ;16.06101769497799;
13114;BV-1468;Clotoide;40.118; ; ;22.875515525286865;
13115;BV-1468;Corba;52.699; ; ;9.578209423141688;
13116;BV-1468;Clotoide;18.843; ; ;6.7367474087066;
13117;BV-1468;Clotoide;37.686; ; ;30.91440685508611;
13118;BV-1468;Corba;45.937; ; ;7.513051334470382;
13119;BV-1468;Clotoide;16.171; ; ;5.6920523487402335;
13120;BV-1468;Clotoide;16.171; ; ;5.7125231901771585;
13121;BV-1468;Corba;45.774; ; ;25.143452635751277;
13122;BV-1468;Recta;0; ; ;17.23313184869361;
13123;BV-1468;Corba;53.733; ; ;28.71856386078376;
13124;BV-1468;Clotoide;22.399; ; ;13.088595967784377;
13125;BV-1468;Recta;0; ; ;44.266529437091954;
13126;BV-1468;Corba;688.038; ; ;11.688951380733775;
13127;BV-1468;Recta;0; ; ;8.813428684474163;
13128;BV-1468;Corba;139.594; ; ;9.942245600634333;
13129;BV-1468;Clotoide;90.398; ; ;58.53390440239552;
13130;BV-1468;Recta;0; ; ;82.92071714586221;
13131;BV-1468;Corba;1636.612; ; ;15.780231725966686;
13132;BV-1468;Recta;0; ; ;30.917306544328763;
13133;BV-1468;Corba;82.928; ; ;17.60785981886488;
13134;BV-1468;Clotoide;49.856; ; ;29.970673478769445;
13135;BV-1468;Clotoide;49.856; ; ;35.85315988807163;
13136;BV-1468;Corba;69.322; ; ;22.334333555605586;
13137;BV-1468;Clotoide;60.807; ; ;53.3315713910887;
13138;BV-1468;Recta;0; ; ;15.832547818203079;
13139;BV-1468;Clotoide;58.458; ; ;15.229299660284763;
13140;BV-1468;Corba;229.737; ; ;128.62962606677272;
13141;BV-1468;Recta;0; ; ;72.57321690232101;
13142;BV-1468;Corba;419.119; ; ;31.93966448420366;
13143;BV-1468;Recta;0; ; ;65.58564975171012;
13144;BV-1468;Clotoide;13.232; ; ;7.219589734302329;
13145;BV-1468;Corba;24.248; ; ;20.89715649739033;
13146;BV-1468;Clotoide;19.37; ; ;15.470937360950096;
13147;BV-1468;Clotoide;19.37; ; ;7.979844961502799;
13148;BV-1468;Corba;47.012; ; ;16.166314252927464;
13149;BV-1468;Clotoide;24.109; ; ;12.362542722119075;
13150;BV-1468;Recta;0; ; ;28.127922148682845;
13151;BV-1468;Clotoide;24.799; ; ;18.675833365690824;
13152;BV-1468;Corba;32.927; ; ;16.636006158943964;
13153;BV-1468;Clotoide;24.35; ; ;18.0059402551808;
13154;BV-1468;Recta;0; ; ;40.964315909921496;
13155;BV-1468;Clotoide;23.79; ; ;16.58652306653154;
13156;BV-1468;Corba;34.119; ; ;10.063906419243295;
13157;BV-1468;Clotoide;15.571; ; ;7.105214182652421;
13158;BV-1468;Clotoide;15.571; ; ;5.663738868424882;
13159;BV-1468;Corba;42.804; ; ;21.212647595100798;
13160;BV-1468;Recta;0; ; ;47.77250269378461;
13161;BV-1468;Clotoide;17.057; ; ;21.481007557851388;
13162;BV-1468;Corba;13.543; ; ;15.134768619282642;
13163;BV-1468;Clotoide;10.231; ; ;6.082781453003768;
13164;BV-1468;Corba;63.612; ; ;12.967907849083334;
13165;BV-1468;Recta;0; ; ;16.670229901786158;
13166;BV-1468;Corba;433.803; ; ;7.427586454850028;
13167;BV-1468;Recta;0; ; ;5.885627430882832;
13168;BV-1468;Clotoide;20.915; ; ;24.863801846131842;
13169;BV-1468;Corba;17.591; ; ;12.823291087351695;
13170;BV-1468;Clotoide;19.086; ; ;20.705123174326253;
13171;BV-1468;Recta;0; ; ;79.97395314227249;
13172;BV-1468;Clotoide;16.981; ; ;19.907401178540724;
13173;BV-1468;Corba;14.483; ; ;5.365407996052028;
13174;BV-1468;Clotoide;17.14; ; ;20.28321479354637;
13175;BV-1468;Recta;0; ; ;5.22488736957994;
13176;BV-1468;Clotoide;11.705; ; ;6.432223937380356;
13177;BV-1468;Corba;21.298; ; ;13.251515962564428;
13178;BV-1468;Clotoide;12.704; ; ;7.577481430024605;
13179;BV-1468;Clotoide;12.704; ; ;8.893968393062886;
13180;BV-1468;Corba;18.145; ; ;11.240241889155364;
13181;BV-1468;Clotoide;18.442; ; ;18.74072381369802;
13182;BV-1468;Recta;0; ; ;5.695615228905085;
13183;BV-1468;Clotoide;13.161; ; ;9.69710884930219;
13184;BV-1468;Corba;17.861; ; ;13.653499389461295;
13185;BV-1468;Clotoide;20.601; ; ;23.758380302021063;
13186;BV-1468;Recta;0; ; ;7.625541877539963;
13187;BV-1468;Clotoide;14.122; ; ;8.964969854872544;
13188;BV-1468;Corba;22.244; ; ;34.68188242234568;
13189;BV-1468;Clotoide;15.097; ; ;10.245420890655334;
