OBJECTID;Carretera;Tipus;Valor;Observacions;Sentit;Shape.STLength();Shape
1;BV-5227;Recta;0; ; ;54.05651775536398;
2;BV-5227;Corba;263.508; ; ;58.51630181683741;
3;BV-5227;Recta;0; ; ;59.87667859258764;
4;BV-5227;Corba;15.978; ; ;21.61199082483456;
5;BV-5227;Corba;442.279; ; ;72.65811437115696;
6;BV-5227;Corba;367.943; ; ;42.52301658472135;
7;BV-5227;Recta;0; ; ;40.69728217954148;
8;BV-5227;Corba;27.212; ; ;10.905424148387082;
9;BV-5227;Clotoide;4.554; ; ;2.4543412270723772;
10;BV-5227;Corba;6.445; ; ;4.217254157496683;
11;BV-5227;Clotoide;5.698; ; ;5.035930336274609;
12;BV-5227;Clotoide;5.698; ; ;1.3827799851138738;
13;BV-5227;Corba;23.51; ; ;29.809884515642256;
14;BV-5227;Corba;12526.631; ; ;109.59448057788794;
15;BV-5227;Corba;381.369; ; ;27.680935334446602;
16;BV-5227;Corba;540.803; ; ;51.582941142052434;
17;BV-5227;Corba;33.014; ; ;15.872651098626767;
18;BV-5227;Clotoide;30.119; ; ;27.358318570653154;
19;BV-5227;Corba;2872.653; ; ;62.67353871261381;
20;BV-5227;Corba;1125.37; ; ;42.72858224121609;
21;BV-5227;Corba;178.257; ; ;38.10738955888674;
22;BV-5227;Corba;653.777; ; ;39.49977022223877;
23;BV-5227;Corba;138.027; ; ;22.149768883992877;
24;BV-5227;Clotoide;50.309; ; ;18.33645092709743;
25;BV-5227;Clotoide;27.949; ; ;30.46800798879737;
26;BV-5227;Corba;25.637; ; ;13.712802747630185;
27;BV-5227;Clotoide;25.48; ; ;25.265669925559553;
28;BV-5227;Corba;11591.071; ; ;113.38766209123614;
29;BV-5227;Recta;0; ; ;200.91767787277064;
30;BV-5227;Clotoide;26.263; ; ;13.203789070252183;
31;BV-5227;Corba;44.422; ; ;44.9926329427486;
32;BV-5227;Clotoide;32.754; ; ;27.46168384061761;
33;BV-5227;Clotoide;65.509; ; ;37.23116975383966;
34;BV-5227;Corba;115.262; ; ;34.67851386462457;
35;BV-5227;Clotoide;35.867; ; ;11.160459331345958;
36;BV-5227;Clotoide;35.867; ; ;23.974783224483964;
37;BV-5227;Corba;56.234; ; ;30.932075270945184;
38;BV-5227;Corba;198.037; ; ;39.02779231385883;
39;BV-5227;Corba;126.196; ; ;31.519901518072427;
40;BV-5227;Corba;280.366; ; ;55.608940356866405;
41;BV-5227;Recta;0; ; ;41.40000697238596;
42;BV-5227;Corba;62.765; ; ;21.022635495178527;
43;BV-5227;Corba;29.577; ; ;33.52075428245419;
44;BV-5227;Corba;48.198; ; ;32.4416544484189;
45;BV-5227;Corba;26.578; ; ;28.919649320341154;
46;BV-5227;Clotoide;19.648; ; ;14.52600578426933;
47;BV-5227;Clotoide;19.648; ; ;0.614338710888819;
48;BV-5227;Corba;581.101; ; ;40.99141253640862;
49;BV-5227;Corba;58.441; ; ;34.51419007835146;
50;BV-5227;Corba;1480.009; ; ;74.22965058577485;
51;BV-5227;Corba;29.08; ; ;14.090084298974764;
52;BV-5227;Clotoide;27.774; ; ;26.525033051342163;
53;BV-5227;Clotoide;15.43; ; ;6.600933799640031;
54;BV-5227;Corba;36.066; ; ;22.660173552750816;
55;BV-5227;Clotoide;28.701; ; ;22.83769196385321;
56;BV-5227;Clotoide;35.876; ; ;20.397708314275647;
57;BV-5227;Corba;63.098; ; ;21.706968936944342;
58;BV-5227;Clotoide;33.747; ; ;18.04882531630538;
59;BV-5227;Clotoide;33.747; ; ;5.665986944523962;
60;BV-5227;Corba;200.997; ; ;37.82754289774263;
61;BV-5227;Corba;1599.617; ; ;49.57622227845828;
62;BV-5227;Corba;415.502; ; ;89.72990355672137;
63;BV-5227;Corba;74.967; ; ;24.848893214066226;
64;BV-5227;Clotoide;40.891; ; ;22.57007949315608;
65;BV-5227;Clotoide;22.717; ; ;19.15491516997949;
66;BV-5227;Corba;26.94; ; ;9.406691144960151;
67;BV-5227;Clotoide;19.221; ; ;13.712603607649392;
68;BV-5227;Clotoide;38.442; ; ;24.95480259539549;
69;BV-5227;Corba;59.244; ; ;59.73785191426945;
70;BV-5227;Recta;0; ; ;37.500805522493515;
71;BV-5227;Clotoide;18.818; ; ;14.61246293616433;
72;BV-5227;Corba;24.232; ; ;15.88874113684533;
73;BV-5227;Corba;783.157; ; ;52.34132168936482;
74;BV-5227;Corba;97.509; ; ;37.23867430134095;
75;BV-5227;Corba;28753.211; ; ;33.52580038381092;
76;BV-5227;Corba;31.785; ; ;29.000917175110974;
77;BV-5227;Clotoide;28.375; ; ;25.329595613127506;
78;BV-5227;Clotoide;28.375; ; ;12.799892433821533;
79;BV-5227;Corba;62.9; ; ;36.511911829179176;
80;BV-5227;Corba;113.118; ; ;22.392826115976202;
81;BV-5227;Corba;211.261; ; ;25.968736494819826;
82;BV-5227;Corba;24.189; ; ;24.82625934346325;
83;BV-5227;Clotoide;21.195; ; ;18.569814091306917;
84;BV-5227;Recta;0; ; ;31.94774354277343;
85;BV-5227;Corba;37.014; ; ;23.78255606282312;
86;BV-5227;Clotoide;24.129; ; ;15.486787543170074;
87;BV-5227;Clotoide;48.258; ; ;20.44958464201508;
88;BV-5227;Corba;101.454; ; ;30.0421198012486;
89;BV-5227;Recta;0; ; ;32.12373947597711;
90;BV-5227;Corba;67.225; ; ;31.68666855655412;
91;BV-5227;Clotoide;28.07; ; ;11.720889301800682;
92;BV-5227;Clotoide;28.07; ; ;17.275038391147007;
93;BV-5227;Corba;45.611; ; ;17.78702190031419;
94;BV-5227;Clotoide;38.688; ; ;32.815274899861144;
95;BV-5227;Clotoide;38.688; ; ;0.9596856995147938;
96;BV-5227;Corba;1559.638; ; ;50.19586025474598;
97;BV-5227;Corba;493.603; ; ;42.647273211595454;
98;BV-5227;Corba;508.58; ; ;24.33249456229672;
99;BV-5227;Corba;122.299; ; ;32.45660689097734;
100;BV-5227;Clotoide;50.577; ; ;20.916012973800214;
101;BV-5227;Clotoide;50.577; ; ;12.808057754995666;
102;BV-5227;Corba;199.091; ; ;65.0529338570635;
103;BV-5227;Corba;52.341; ; ;31.000181466999223;
104;BV-5227;Corba;32.159; ; ;16.484950495290068;
105;BV-5227;Clotoide;31.69; ; ;31.225598282347867;
106;BV-5227;Clotoide;31.69; ; ;12.236349767005166;
107;BV-5227;Corba;82.068; ; ;42.48832082329559;
108;BV-5227;Corba;165.035; ; ;35.621378117671725;
109;BV-5227;Corba;32.64; ; ;21.44930111208036;
110;BV-5227;Clotoide;29.825; ; ;27.2511339874702;
111;BV-5227;Recta;0; ; ;45.78513396901636;
112;BV-5227;Corba;227.449; ; ;20.019697090205224;
113;BV-5227;Recta;0; ; ;47.57322020981929;
114;BV-5227;Corba;257.167; ; ;28.73744327019423;
115;BV-5227;Corba;90.447; ; ;15.071278052010449;
116;BV-5227;Corba;453.468; ; ;37.59602597652594;
117;BV-5227;Corba;330.519; ; ;33.85450438325028;
118;BV-5227;Recta;0; ; ;44.44799655853094;
119;BV-5227;Corba;75.185; ; ;28.60750724927827;
120;BV-5227;Clotoide;51.78; ; ;35.66032431203728;
121;BV-5227;Clotoide;51.78; ; ;0.4029901492805627;
122;BV-5227;Corba;1554.18; ; ;35.77998745534095;
123;BV-5227;Corba;40.453; ; ;29.71608569658146;
124;BV-5227;Corba;225.775; ; ;22.54399903496713;
125;BV-5227;Corba;75.76; ; ;28.888618410180012;
126;BV-5227;Clotoide;35.979; ; ;17.08720219355176;
127;BV-5227;Clotoide;35.979; ; ;8.437113537705388;
128;BV-5227;Corba;152.252; ; ;56.43210817339803;
129;BV-5227;Corba;47.67; ; ;39.73920879408296;
130;BV-5227;Clotoide;29.516; ; ;18.380997055678947;
131;BV-5227;Clotoide;29.516; ; ;23.92913624997538;
132;BV-5227;Corba;36.404; ; ;22.95420682388137;
133;BV-5227;Clotoide;60.789; ; ;44.42902437267616;
134;BV-5227;Corba;65.234; ; ;17.911856570827414;
135;BV-5227;Corba;232.1; ; ;20.237156414157653;
136;BV-5227;Corba;69.594; ; ;35.940308788296754;
137;BV-5227;Corba;303.603; ; ;33.807281398609845;
138;BV-5227;Corba;61.174; ; ;37.05144154829423;
139;BV-5227;Recta;0; ; ;20.249300930682743;
140;BV-5227;Corba;58.719; ; ;33.6032988452948;
141;BV-5227;Corba;30.349; ; ;30.48528646988796;
142;BV-5227;Recta;0; ; ;31.245183997225006;
143;BV-5227;Corba;49.035; ; ;22.337400935821773;
144;BV-5227;Clotoide;38.419; ; ;29.81131775739784;
145;BV-5227;Clotoide;38.419; ; ;0.07581991982717111;
146;BV-5227;Corba;19498.864; ; ;245.78295776374696;
147;BV-5227;Corba;62.373; ; ;48.666237473275075;
148;BV-5227;Corba;195.686; ; ;18.118949048968002;
149;BV-5227;Corba;54.246; ; ;38.40051324595696;
150;BV-5227;Corba;3158.203; ; ;90.33191129828504;
151;BV-5227;Corba;209.202; ; ;82.7511400773247;
152;BV-5227;Recta;0; ; ;21.979316781946306;
153;BV-5227;Corba;196.494; ; ;31.473942115792678;
154;BV-5227;Recta;0; ; ;27.42079977078067;
155;BV-5227;Corba;79.166; ; ;42.93080317368523;
156;BV-5227;Clotoide;30.402; ; ;11.696875217837341;
157;BV-5227;Clotoide;30.402; ; ;20.29657949176525;
158;BV-5227;Corba;45.538; ; ;17.481271944107768;
159;BV-5227;Corba;103.998; ; ;12.143119501159394;
160;BV-5227;Corba;394164.777; ; ;48.00775518324481;
161;BV-5227;Corba;55.891; ; ;12.26602631763879;
162;BV-5227;Corba;30.041; ; ;25.091291150949058;
163;BV-5227;Clotoide;39.798; ; ;18.056423476145685;
164;BV-5227;Corba;50.303; ; ;34.42436603743002;
165;BV-5227;Clotoide;34.578; ; ;23.76788956498318;
166;BV-5227;Clotoide;28.815; ; ;27.06348289287112;
167;BV-5227;Corba;30.576; ; ;18.654413835366373;
168;BV-5227;Clotoide;23.586; ; ;18.132248254514632;
169;BV-5227;Clotoide;23.586; ; ;0.21996128993975453;
170;BV-5227;Corba;2528.122; ; ;75.56569083472604;
171;BV-5227;Corba;179.083; ; ;43.99956314227798;
172;BV-5227;Recta;0; ; ;117.56304343527668;
173;BV-5227;Corba;12277.431; ; ;65.10232014237793;
174;BV-5227;Corba;150.487; ; ;31.051177472277683;
175;BV-5227;Corba;364.081; ; ;97.98123994677586;
176;BV-5227;Corba;55.07; ; ;25.381155177755453;
177;BV-5227;Clotoide;35.411; ; ;22.849143933084314;
178;BV-5227;Clotoide;35.411; ; ;7.826905587364555;
179;BV-5227;Corba;160.212; ; ;30.46169790625763;
180;BV-5227;Corba;7502.751; ; ;101.70082167832071;
181;BV-5227;Corba;150.056; ; ;47.43549412960663;
182;BV-5227;Corba;221.953; ; ;38.21736135958424;
183;BV-5227;Corba;346.554; ; ;80.52979259516424;
184;BV-5227;Clotoide;21.35; ; ;1.3157085296378142;
185;BV-5227;Clotoide;42.701; ; ;26.712088522737957;
186;BV-5227;Corba;68.258; ; ;30.216468088871835;
187;BV-5227;Corba;1931.754; ; ;84.7380424702172;
188;BV-5227;Corba;28.817; ; ;26.044503555923708;
189;BV-5227;Corba;272.408; ; ;22.390357980728854;
190;BV-5227;Corba;337.162; ; ;39.449853665252746;
191;BV-5227;Corba;285.427; ; ;27.773677609883123;
192;BV-5227;Corba;97.201; ; ;27.794886246774826;
193;BV-5227;Corba;1057.951; ; ;69.19554126967174;
194;BV-5227;Corba;7967.412; ; ;177.7046220850622;
195;BV-5227;Corba;160.508; ; ;49.47232053035887;
196;BV-5227;Corba;529.303; ; ;45.57467238293292;
197;BV-5227;Corba;37.312; ; ;29.299106654680298;
198;BV-5227;Recta;0; ; ;74.63366149891722;
199;BV-5227;Clotoide;20.119; ; ;14.285108810770726;
200;BV-5227;Corba;28.333; ; ;32.59084990248385;
201;BV-5227;Recta;0; ; ;27.009852384007687;
202;BV-5227;Corba;39.867; ; ;31.493218088798628;
203;BV-5227;Clotoide;26.989; ; ;18.29581386765668;
204;BV-5227;Recta;0; ; ;184.08207334856365;
205;BV-5227;Corba;87.966; ; ;35.667761748185214;
206;BV-5227;Clotoide;27.376; ; ;8.518367246080961;
207;BV-5227;Clotoide;27.376; ; ;8.515260302741064;
208;BV-5227;Corba;88.007; ; ;39.59184260237167;
209;BV-5227;Clotoide;27.996; ; ;8.905393444345806;
210;BV-5227;Clotoide;27.996; ; ;11.57110943188787;
211;BV-5227;Corba;67.733; ; ;31.80837738655816;
212;BV-5227;Recta;0; ; ;31.45257471746248;
213;BV-5227;Clotoide;42.616; ; ;27.653194237578465;
214;BV-5227;Corba;65.673; ; ;9.922583849239924;
215;BV-5227;Clotoide;26.537; ; ;10.723084068345408;
216;BV-5227;Clotoide;26.537; ; ;13.172098349830364;
217;BV-5227;Corba;53.462; ; ;16.63749090873807;
218;BV-5227;Clotoide;41.857; ; ;32.77017104334537;
219;BV-5227;Clotoide;41.857; ; ;1.5909832208544623;
