OBJECTID;Codi estació;Carretera;PKI;PKF;Any IMD;Any càlcul;IMD;% Pesants;% Motos;Dies registrats;Nº lectures;IFA;IMD Feiners;IMD Dissabte;IMD Diumenge;Dia punta;Hora punta;Volum punta;Dia 30;Hora 30;Dia 50;Hora 50;Volum 50;Dia 100;Hora 100;Volum 100;Volum 30;Velocitat mitjana;Percentil 85;Volum pesants C1;Volum pesants C2;Volum motos C1;Volum motos C2;PKI Ref;PKI Offset;PKF Ref;PKF Offset
8075;EA00437;BV-5024;0+000;1+838;2023;2024;4762;2.23;6.63;16;2;100;4997;3455;2683;11/8/2023 1:00 a. m.;8;510;4/18/2023 2:00 a. m.;17;11/10/2023 1:00 a. m.;16;374;4/18/2023 2:00 a. m.;15;328;418;55;60_70;72;34;0;0;0;0;1;838
8076;EA00046;BP-1503z;23+948;24+347;2024;2024;3412;3.03;6.75;14;2;100;3886;1553;1289;12/4/2024 1:00 a. m.;18;515;12/3/2024 1:00 a. m.;9;12/3/2024 1:00 a. m.;19;342;12/7/2024 1:00 a. m.;18;205;376;49;50_60;51;52;0;0;23;948;24;347
8077;EA00079;BP-4653;16+260;17+390;2024;2024;1094;6.22;7.17;14;2;100;1045;955;928;2/18/2024 1:00 a. m.;12;156;7/29/2024 2:00 a. m.;10;7/26/2024 2:00 a. m.;19;80;7/25/2024 2:00 a. m.;11;70;86;54;60_70;42;26;0;0;16;260;17;390
8078;EA00144;BV-1221;21+145;24+280;2023;2024;376;2.39;20.1;7;1;50;227;367;601;4/16/2023 2:00 a. m.;10;134;4/12/2023 2:00 a. m.;14;4/18/2023 2:00 a. m.;7;18;4/15/2023 2:00 a. m.;6;8;23;55;60_70;6;3;0;0;21;145;24;280
8079;EA00187;BV-1435;11+300;13+331;2023;2024;5607;3.76;4.53;14;2;100;6001;4048;3419;2/17/2023 1:00 a. m.;14;587;7/26/2023 2:00 a. m.;14;2/17/2023 1:00 a. m.;18;410;2/20/2023 1:00 a. m.;8;363;429;75;90_100;113;97;0;0;11;300;13;331
8080;EA00726;C-37z;86+350;87+265;2023;2024;3131;3.06;2.52;14;2;100;3450;2399;1717;3/6/2023 1:00 a. m.;16;366;11/11/2023 1:00 a. m.;11;11/13/2023 1:00 a. m.;9;251;3/6/2023 1:00 a. m.;13;199;277;60;70_80;62;33;0;0;86;350;87;265
8081;EA00579;N-141b;27+900;29+775;2024;2024;643;12.15;3.62;14;2;100;643;662;457;9/14/2024 2:00 a. m.;10;70;9/16/2024 2:00 a. m.;8;9/19/2024 2:00 a. m.;17;51;2/20/2024 1:00 a. m.;18;42;57;60;70_80;47;31;0;0;27;900;29;775
8082;EA00713;B-510;0+000;3+650;2024;2024;9708;3.95;3.43;14;2;100;10429;7497;5984;12/4/2024 1:00 a. m.;8;866;12/9/2024 1:00 a. m.;14;12/7/2024 1:00 a. m.;13;688;12/3/2024 1:00 a. m.;12;589;722;50;50_60;190;193;0;0;0;0;3;650
8083;EA00194;BV-1462;10+075;11+300;2023;2024;8085;2.57;6.61;14;2;100;8141;6636;5517;5/30/2023 2:00 a. m.;8;800;11/21/2023 1:00 a. m.;9;5/31/2023 2:00 a. m.;16;607;5/28/2023 2:00 a. m.;19;500;641;45;50_60;102;105;0;0;10;75;11;300
8084;EA01190;BV-5008;1+210;2+611;2024;2024;6652;4.26;3.94;14;2;100;7075;5189;4167;2/19/2024 1:00 a. m.;8;661;12/5/2024 1:00 a. m.;18;12/9/2024 1:00 a. m.;19;474;2/14/2024 1:00 a. m.;10;404;523;40;0_40;179;104;132;129;1;210;2;611
8085;EA00914;N-141g;8+210;9+000;2024;2024;492;2.3;1.48;12;2;100;497;466;442;7/14/2024 2:00 a. m.;13;57;3/5/2024 1:00 a. m.;17;3/4/2024 1:00 a. m.;12;36;3/5/2024 1:00 a. m.;14;29;41;40;0_40;8;3;0;0;8;210;9;0
8086;EA00200;BV-1483;0+000;1+850;2024;2024;538;2.19;6.92;14;2;100;537;424;400;8/24/2024 2:00 a. m.;12;88;8/20/2024 2:00 a. m.;20;8/20/2024 2:00 a. m.;14;55;8/20/2024 2:00 a. m.;16;36;61;43;40_50;9;2;0;0;0;0;1;850
8087;EA00441;BV-5031;5+195;9+035;2024;2024;2516;1.94;4.95;14;2;100;2581;2223;1608;3/20/2024 1:00 a. m.;8;260;11/19/2024 1:00 a. m.;9;3/25/2024 1:00 a. m.;9;198;11/20/2024 1:00 a. m.;15;169;212;49;50_60;25;23;0;0;5;195;9;35
8088;EA00451;BV-5103;4+680;7+945;2024;2024;618;3.54;4.61;15;2;100;655;466;383;4/26/2024 2:00 a. m.;15;131;10/30/2024 1:00 a. m.;18;10/31/2024 1:00 a. m.;12;50;11/4/2024 1:00 a. m.;15;37;57;40;0_40;11;10;0;0;4;680;7;945
8089;EA00202;BV-1485;0+000;7+030;2023;2024;198;2.91;15.46;25;3;100;163;161;194;7/23/2023 2:00 a. m.;8;43;7/24/2023 2:00 a. m.;15;4/5/2023 2:00 a. m.;17;23;7/24/2023 2:00 a. m.;18;16;27;48;50_60;3;2;0;0;0;0;7;30
