OBJECTID;Carretera;Tipus;Valor;Observacions;Sentit;Shape.STLength();Shape
2304;BP-4654;Corba;22.748; ; ;34.79597611409684;
2305;BP-4654;Clotoide;22.022; ; ;21.318940969204508;
2306;BP-4654;Clotoide;22.022; ; ;1.2822790503322898;
2307;BP-4654;Corba;378.233; ; ;22.937949666930763;
2308;BP-4654;Corba;59.893; ; ;40.57814164331504;
2309;BP-4654;Recta;0; ; ;24.513083700104197;
2310;BP-4654;Clotoide;41.47; ; ;32.51078854047747;
2311;BP-4654;Corba;51.364; ; ;12.220633466060496;
2312;BP-4654;Corba;111.783; ; ;27.942090782102664;
2313;BP-4654;Recta;0; ; ;41.24534278632161;
2314;BP-4654;Clotoide;30.915; ; ;29.072321917531866;
2315;BP-4654;Corba;32.874; ; ;13.88017339059415;
2316;BP-4654;Clotoide;22.812; ; ;15.828522043818204;
2317;BP-4654;Recta;0; ; ;132.7542202714458;
2318;BP-4654;Corba;129.808; ; ;43.15671105855543;
2319;BP-4654;Corba;4481.629; ; ;101.01312029751428;
2320;BP-4654;Corba;49.141; ; ;27.211870690210745;
2321;BP-4654;Clotoide;39.035; ; ;31.006167339408144;
2322;BP-4654;Clotoide;39.035; ; ;0.7327755266947675;
2323;BP-4654;Corba;2079.424; ; ;49.28790907723488;
2324;BP-4654;Corba;84.821; ; ;49.553181524097276;
2325;BP-4654;Recta;0; ; ;43.49566311030898;
2326;BP-4654;Corba;126.506; ; ;34.91465228233287;
2327;BP-4654;Recta;0; ; ;76.83045603324727;
2328;BP-4654;Clotoide;33.467; ; ;33.479908916003694;
2329;BP-4654;Corba;33.452; ; ;19.410848424606105;
2330;BP-4654;Corba;319.952; ; ;20.618010485368643;
2331;BP-4654;Clotoide;40.409; ; ;5.103532258138407;
2332;BP-4654;Clotoide;40.409; ; ;29.168519290603182;
2333;BP-4654;Corba;53.742; ; ;25.501914690482035;
2334;BP-4654;Recta;0; ; ;24.585074814829458;
2335;BP-4654;Corba;53056.438; ; ;70.38089336913063;
2336;BP-4654;Clotoide;27.575; ; ;22.069372133390118;
2337;BP-4654;Corba;34.43; ; ;26.266665382026083;
2338;BP-4654;Corba;233.944; ; ;32.00302078352318;
2339;BP-4654;Corba;44.874; ; ;16.9465352856197;
2340;BP-4654;Clotoide;34.026; ; ;25.798886712577406;
2341;BP-4654;Clotoide;34.026; ; ;9.583922463171495;
2342;BP-4654;Corba;119.287; ; ;45.602116875606974;
2343;BP-4654;Corba;267.557; ; ;25.559103350299726;
2344;BP-4654;Corba;85.394; ; ;42.37366081388251;
2345;BP-4654;Recta;0; ; ;49.72126933715954;
2346;BP-4654;Corba;830.022; ; ;47.18152571636153;
2347;BP-4654;Clotoide;25.899; ; ;15.809672242489897;
2348;BP-4654;Corba;40.362; ; ;69.34908112154133;
2349;BP-4654;Corba;51.252; ; ;33.74603114127314;
2350;BP-4654;Clotoide;42.051; ; ;30.374232178943686;
2351;BP-4654;Corba;428.456; ; ;43.76596453114834;
2352;BP-4654;Corba;51.144; ; ;28.51752267668666;
2353;BP-4654;Clotoide;41.38; ; ;33.47871117967453;
2354;BP-4654;Clotoide;49.855; ; ;34.27505408608462;
2355;BP-4654;Corba;72.515; ; ;26.596526256246378;
2356;BP-4654;Corba;64.081; ; ;28.252993056240182;
2357;BP-4654;Clotoide;41.539; ; ;26.92600566440206;
